amount,hour_of_day,is_weekend,receiver_account_age_days,receiver_report_count,receiver_tx_count_24h,receiver_unique_senders_24h,previous_connections_count,avg_transaction_amount_7d,amount_deviation,velocity_ratio,is_first_interaction,is_fraud
1919.69,18,1,151,0,9,6,4,2049.81,0.9361,0.6,0,0
4488.32,22,1,90,2,7,5,5,444.64,10.0716,0.625,0,1
2605.72,9,0,909,0,19,7,3,3074.6,0.8472,0.35,0,0
579.44,17,0,183,0,21,7,15,1034.51,0.5596,0.3182,0,0
5725.75,22,1,655,0,22,8,3,3661.2,1.5635,0.3478,0,0
3723.34,11,1,113,2,1,0,30,1279.6,2.9075,0.0,0,0
3971.75,15,0,442,0,23,13,2,9301.95,0.4269,0.5417,0,0
6058.15,17,0,820,0,33,8,2,10340.69,0.5858,0.2353,0,0
683.63,18,0,168,3,16,2,4,266.86,2.5522,0.1176,0,1
3094.49,20,0,144,2,0,5,24,916.43,3.373,5.0,0,0
3388.35,11,0,482,0,8,5,15,802.27,4.2182,0.5556,0,0
709.11,23,0,267,2,10,3,12,60.63,11.5059,0.2727,0,0
430.15,12,1,189,0,4,4,19,1240.15,0.3466,0.8,0,0
3966.34,13,1,68,1,11,5,2,378.46,10.4526,0.4167,0,1
3685.07,23,0,164,0,6,8,6,86.16,42.2794,1.1429,0,0
12965.26,9,1,771,0,40,23,1,3299.7,3.928,0.561,0,0
29564.11,23,0,282,4,4,10,5,326.69,90.2198,2.0,0,1
3497.32,16,1,540,0,10,9,0,2999.81,1.1655,0.8182,1,0
3578.25,3,0,124,2,11,8,2,1453.35,2.4604,0.6667,0,0
13039.53,8,0,519,0,26,13,1,4722.64,2.7605,0.4815,0,0
4268.75,20,1,82,2,7,1,26,639.95,6.66,0.125,0,0
1338.88,17,1,502,0,7,1,24,975.83,1.3706,0.125,0,0
3472.45,6,0,181,0,4,4,3,793.8,4.369,0.8,0,0
1613.86,18,1,552,1,10,3,17,1382.22,1.1667,0.2727,0,0
595.26,11,1,365,0,14,10,15,1238.79,0.4801,0.6667,0,0
3456.34,11,1,1398,0,16,19,2,9802.06,0.3526,1.1176,0,0
5211.87,15,1,198,1,6,12,3,366.99,14.1631,1.7143,0,0
3626.82,12,1,117,1,16,10,1,437.21,8.2764,0.5882,0,0
2092.99,22,1,118,2,10,11,3,218.66,9.5283,1.0,0,1
6014.6,22,0,506,0,17,7,1,8707.36,0.6907,0.3889,0,0
2469.57,11,1,160,4,17,7,0,867.38,2.8439,0.3889,1,1
5065.72,11,0,1042,0,27,7,2,10874.21,0.4658,0.25,0,0
2626.81,20,0,395,0,6,8,4,1187.29,2.2106,1.1429,0,0
1563.24,17,1,487,0,25,18,3,1156.71,1.3503,0.6923,0,0
979.23,22,1,608,1,10,5,14,383.33,2.5479,0.4545,0,0
1875.92,8,1,95,3,7,6,4,658.44,2.8447,0.75,0,1
4554.69,4,0,111,1,14,5,4,270.49,16.7766,0.3333,0,0
14577.25,16,0,732,0,21,10,0,8913.73,1.6352,0.4545,1,0
4396.96,18,0,64,0,9,6,3,1998.77,2.1987,0.6,0,0
2965.16,10,1,412,2,7,3,29,1318.89,2.2465,0.375,0,0
2267.69,19,0,192,2,15,8,1,911.53,2.4851,0.5,0,0
2612.76,13,0,87,2,5,2,0,1779.37,1.4675,0.3333,1,0
1689.41,10,1,482,0,8,10,0,1682.52,1.0035,1.1111,1,0
5598.82,15,0,1108,0,13,17,3,3878.55,1.4432,1.2143,0,0
1244.04,11,0,1158,0,5,4,0,3303.95,0.3764,0.6667,1,0
3201.72,9,0,58,1,5,2,7,228.19,13.9697,0.3333,0,0
2298.42,16,0,289,2,5,2,11,63.45,35.6621,0.3333,0,0
4579.37,16,0,1145,0,35,27,2,8419.27,0.5439,0.75,0,0
3945.37,8,1,491,2,5,6,15,1038.2,3.7965,1.0,0,0
692.99,8,0,556,2,12,3,19,978.69,0.7074,0.2308,0,0
3022.0,20,0,473,2,6,1,19,1936.36,1.5599,0.1429,0,0
1190.76,10,0,248,0,10,8,5,532.54,2.2318,0.7273,0,0
1202.46,19,1,329,0,11,2,0,4717.69,0.2548,0.1667,1,0
4885.39,8,1,482,1,10,4,10,701.97,6.9496,0.3636,0,0
1162.43,18,1,476,1,7,1,29,1389.59,0.8359,0.125,0,0
3890.23,8,0,75,0,12,7,6,984.83,3.9461,0.5385,0,0
4197.81,13,1,213,0,0,6,29,1890.53,2.2193,6.0,0,0
956.71,22,1,195,2,11,6,5,1271.82,0.7516,0.5,0,1
91.45,10,0,343,1,3,3,30,1324.0,0.069,0.75,0,0
685.6,8,0,406,0,18,10,7,1946.28,0.3521,0.5263,0,0
4.44,4,0,47,1,15,4,3,45.34,0.0958,0.25,0,1
2970.1,18,0,298,0,18,9,19,1147.66,2.5857,0.4737,0,0
520.6,9,0,122,0,11,10,3,596.35,0.8715,0.8333,0,1
2101.03,15,0,287,0,11,6,0,772.57,2.716,0.5,1,0
3.13,3,0,11,0,24,8,2,1.14,1.4626,0.32,0,1
6627.85,17,0,315,2,9,6,6,318.6,20.738,0.6,0,1
1103.01,17,0,377,1,2,2,7,254.68,4.314,0.6667,0,0
1314.74,10,1,1119,0,13,4,0,4153.18,0.3165,0.2857,1,0
2235.77,7,0,1166,0,7,10,0,372.29,5.9894,1.25,1,0
896.88,11,1,379,2,9,5,19,1011.96,0.8854,0.5,0,0
635.34,17,0,239,1,3,4,5,271.37,2.3326,1.0,0,0
3976.35,6,1,628,0,7,3,3,615.55,6.4494,0.375,0,0
4028.52,20,0,71,1,8,6,2,433.62,9.2691,0.6667,0,1
237.29,16,1,169,0,18,13,10,2052.45,0.1156,0.6842,0,0
2135.26,19,0,180,2,13,10,1,1024.24,2.0827,0.7143,0,1
49783.26,1,0,747,4,18,8,3,36.75,1318.7619,0.4211,0,1
1064.26,19,0,775,0,7,7,0,3106.21,0.3425,0.875,1,0
17681.89,5,0,362,1,9,8,3,187.46,93.823,0.8,0,1
4506.21,6,1,406,1,6,1,19,645.42,6.971,0.1429,0,0
4.6,18,0,15,2,24,5,0,40.93,0.1097,0.2,1,1
3234.22,13,1,879,0,8,4,0,1136.72,2.8427,0.4444,1,0
5486.54,9,0,278,4,16,4,2,752.05,7.2858,0.2353,0,1
3529.23,11,0,382,0,3,2,15,732.44,4.8119,0.5,0,0
2160.59,19,1,385,1,9,6,30,1296.46,1.6652,0.6,0,0
4741.99,8,0,400,2,6,3,28,1956.39,2.4226,0.4286,0,0
663.71,8,0,522,1,4,6,7,687.48,0.964,1.2,0,0
15168.54,8,1,507,0,17,23,2,6611.17,2.294,1.2778,0,0
2025.34,22,1,210,1,1,5,28,1641.3,1.2332,2.5,0,0
1455.78,15,1,256,2,4,5,2,899.89,1.6159,1.0,0,1
1142.38,9,1,191,0,5,7,3,286.88,3.9683,1.1667,0,1
3715.79,22,1,478,0,14,8,18,546.34,6.7888,0.5333,0,0
1855.04,8,0,151,1,8,6,5,1411.16,1.3136,0.6667,0,0
1723.9,11,0,265,2,6,1,10,870.74,1.9775,0.1429,0,0
325.85,23,1,679,2,5,4,5,245.99,1.3193,0.6667,0,0
4167.86,15,0,504,1,13,6,1,1267.41,3.2859,0.4286,0,0
4657.76,11,0,313,0,4,8,0,712.03,6.5323,1.6,1,0
8604.22,15,1,416,0,31,14,1,4249.89,2.0241,0.4375,0,0
1247.13,12,0,559,2,4,4,13,458.37,2.7149,0.8,0,0
217.62,13,0,629,1,9,2,26,73.65,2.9152,0.2,0,0
1275.12,13,1,602,0,10,4,0,4505.53,0.2829,0.3636,1,0
13273.6,8,0,587,0,26,13,0,3804.03,3.4884,0.4815,1,0
14861.69,23,1,779,0,15,14,1,7088.3,2.0964,0.875,0,0
4541.31,8,0,312,0,2,5,22,1002.54,4.5253,1.6667,0,0
1190.46,21,0,199,0,2,4,3,581.42,2.044,1.3333,0,0
8117.69,18,1,967,0,31,15,1,11802.25,0.6878,0.4688,0,0
744.81,2,0,106,2,14,5,3,1070.68,0.695,0.3333,0,1
675.27,14,1,405,0,11,8,14,636.08,1.0599,0.6667,0,0
1470.41,17,1,494,0,36,19,1,1280.11,1.1478,0.5135,0,0
